"YEAR","QY","PY","QK","PK","QL","PL","QE","PE","QM","PM","QV","PV","Z1","Z2","Z3","Z4","Z5","Z6","Z7","Z8","Z9","Z10"
1947,196.205,1,9.313,1,45.0961,1,7.75697,1,120.207,1,68.24103,1,8.966,13.634,0.051284,0.014184,1847.62,28.6602,849.66,3.9008,7.3056,144.126
1948,182.829,1.07863,10.6264,1.0027,43.9693,1.15457,7.20873,1.30259,106.468,1.05526,69.15226,1.09126,6.516,11.603,0.049606,0.013053,1897.31,29.39,886.996,6.3795,11.9406,146.631
1949,191.077,1.06385,11.5423,0.74371,41.8166,1.15584,7.91134,1.19663,113.107,1.06225,70.05865,1.05144,6.436,11.683,0.05317,0.012918,1934.16,31.0142,931.75,8.578,15.1466,149.188
1950,217.532,1.08832,11.9624,0.92497,44.4985,1.23535,8.40976,1.21442,129.378,1.1243,79.74423,1.01665,5.559,10.699,0.050842,0.013749,1986.51,32.4455,961.19,5.7444,16.5949,152.271
1951,235.289,1.18774,12.2972,1.04877,48.7602,1.33784,9.16439,1.2518,136.689,1.21694,89.43562,1.13655,6.323,13.01,0.048706,0.013346,2025.42,40.8226,1016.4,9.0163,28.3267,154.878
1952,244.086,1.17562,13.045,0.99744,51.1402,1.37949,9.22766,1.27919,141.135,1.19961,93.72334,1.1293,6.641,11.569,0.05082,0.012927,2057.04,44.8486,1062.65,13.083,37.6272,157.553
1953,269.111,1.17047,13.6777,1.00654,54.4577,1.43458,9.97689,1.27505,156.706,1.19044,102.42811,1.12973,6.722,11.088,0.050911,0.013411,2100.42,45.0717,1094.06,18.6426,38.7381,160.184
1954,247.312,1.19028,14.2198,1.08757,51.2944,1.45362,10.0785,1.30357,142.018,1.20612,95.21549,1.15466,7.04,11.798,0.047853,0.01377,2143.9,44.5779,1128.3,13.2391,34.3938,163.026
1955,277.789,1.20801,14.7225,1.10315,54.0984,1.51121,10.392,1.34277,159.05,1.23835,108.347,1.15055,8.031,12.842,0.047627,0.014488,2168.5,44.1477,1157.08,12.1713,31.5801,165.931
1956,281.382,1.26104,15.1736,0.99607,55.7854,1.58187,10.9519,1.37155,162.295,1.29336,108.13509,1.20134,9.244,14.949,0.04846,0.014892,2209.98,44.7398,1207.47,10.9076,32.6729,168.903
1957,282.153,1.2925,16.0311,1.06321,55.9122,1.64641,11.8274,1.3801,163.127,1.30703,107.19862,1.26072,9.953,16.2,0.048101,0.014787,2264.27,45.8818,1249.25,13.5831,33.3275,171.984
1958,262.425,1.3085,16.8214,1.15619,52.6973,1.67389,11.2209,1.39338,150.735,1.327,100.46909,1.27126,8.263,14.804,0.047143,0.014801,2328.71,46.885,1281.97,15.583,35.637,174.882
1959,291.418,1.31595,16.9557,1.30758,56.4288,1.7343,11.9592,1.36756,169.792,1.30774,109.66679,1.32303,8.052,15.708,0.048139,0.015288,2378.89,47.7848,1300.06,16.3274,35.1818,177.83
1960,296.644,1.32115,16.9042,1.25413,56.9827,1.7828,12.1651,1.38025,169.226,1.33946,115.25291,1.28803,9.803,17.461,0.050736,0.015769,2426.12,49.3268,1335.4,16.6308,34.3927,180.671
1961,297,1.31688,17.1108,1.26329,56.0163,1.81977,12.3453,1.37631,167.971,1.34319,116.68371,1.27272,9.71,18.322,0.04954,0.016318,2485.86,51.4686,1367.4,18.796,37.0781,183.691
1962,320.884,1.31614,17.2227,1.26525,58.5997,1.88531,12.8529,1.37689,178.634,1.34745,129.39709,1.26688,10.162,19.862,0.049556,0.016945,2531.34,54.0054,1392.1,22.3722,38.5617,186.538
1963,337.855,1.32046,17.4505,1.32294,59.6128,1.93379,13.674,1.34737,191.822,1.33144,132.35901,1.30177,10.778,21.37,0.049971,0.017183,2597.9,55.4005,1428.97,22.1709,40.3094,189.242
1964,359.146,1.31636,17.8079,1.32798,61.1658,2.00998,13.7081,1.38969,198.323,1.35197,147.1149,1.26152,12.41,24.139,0.049179,0.01746,2658.35,57.096,1469.18,23.5741,39.8519,191.889
1965,389.238,1.33311,18.4595,1.40659,64.6947,2.05539,14.0946,1.38635,215.563,1.37543,159.5804,1.27124,12.414,25.024,0.048148,0.017741,2711.21,59.1007,1514.67,26.7136,39.235,194.303
1966,417.185,1.36546,19.6165,1.451,69.2726,2.13441,14.9341,1.40102,228.398,1.41879,173.85291,1.29234,13.592,26.652,0.044843,0.017598,2783.88,64.7287,1571.29,31.9403,42.1485,196.56
1967,425.702,1.37926,21.2163,1.38618,70.161,2.20617,15.815,1.39197,234.596,1.42428,175.291,1.31786,14.495,27.638,0.045883,0.017687,2853.28,69.7831,1634,36.9684,47.4447,198.712
1968,451.21,1.40634,22.4894,1.49901,72.3024,2.33869,16.2118,1.43389,250.484,1.43481,184.51419,1.36527,16.204,29.46,0.04835,0.018119,2924.15,72.9681,1683.23,41.2682,49.3801,200.706
1969,466.83,1.44714,23.5281,1.44957,74.2756,2.46412,17.0568,1.46481,253.226,1.53356,196.54718,1.33427,17.689,30.745,0.048567,0.018496,2997.76,76.0057,1736.83,41.8581,45.8648,202.677
1970,446.71,1.48518,24.7325,1.32465,71.2039,2.60532,18.5782,1.45907,244.296,1.54758,183.83578,1.4049,18.816,33.356,0.050926,0.018719,3087.61,79.4572,1791.37,39.0394,41.6817,204.879
1971,457.986,1.54016,25.6062,1.20178,68.9305,2.76026,17.9034,1.64689,263.076,1.54979,177.00661,1.51505,18.478,34.106,0.05116,0.019298,3168.62,82.9184,1831.98,35.3395,43.7059,207.049
